tld,domains_with_dnssec,total_domains,coverage_pct
xn--unup4y,1,269,0.37
google,26,267,9.74
toyota,0,249,0.0
xn--fjq720a,1,221,0.45
bradesco,1,220,0.45
man,1,206,0.49
stockholm,1,199,0.5
weir,0,191,0.0
globo,1,182,0.55
hiv,5,180,2.78
dealer,4,174,2.3
xn--fiq64b,0,171,0.0
citic,0,158,0.0
theatre,6,152,3.95
afl,1,150,0.67
xn--imr513n,0,148,0.0
target,1,148,0.68
sky,1,146,0.68
barclays,27,141,19.15
bmw,1,132,0.76
lidl,1,131,0.76
jnj,1,131,0.76
nra,1,130,0.77
stada,1,126,0.79
sbi,111,120,92.5
auspost,1,117,0.85
erni,3,115,2.61
yandex,1,113,0.88
lotto,4,108,3.7
protection,0,102,0.0
discover,1,102,0.98
tui,1,99,1.01
cern,1,96,1.04
saxo,1,95,1.05
kfh,2,95,2.11
teva,1,95,1.05
dhl,66,94,70.21
pfizer,1,94,1.06
deloitte,55,87,63.22
komatsu,0,86,0.0
microsoft,13,85,15.29
cba,1,84,1.19
azure,1,84,1.19
toray,73,83,87.95
reit,0,81,0.0
ifm,1,80,1.25
mini,1,80,1.25
xn--4gbrim,2,78,2.56
bloomberg,1,78,1.28
apple,1,72,1.39
axa,1,72,1.39
bridgestone,1,69,1.45
xn--otu796d,0,66,0.0
sncf,1,65,1.54
fage,1,63,1.59
philips,2,60,3.33
uol,1,56,1.79
shell,33,56,58.93
ricoh,0,53,0.0
aig,1,52,1.92
trust,13,52,25.0
meet,0,51,0.0
mango,1,51,1.96
aquarelle,1,50,2.0
smart,0,49,0.0
airbus,1,49,2.04
vana,13,47,27.66
mlb,1,47,2.13
case,1,45,2.22
fresenius,1,45,2.22
pictet,1,43,2.33
itv,2,43,4.65
anz,4,42,9.52
sandvik,1,41,2.44
xn--45q11c,0,40,0.0
bauhaus,1,40,2.5
vig,1,40,2.5
statebank,38,40,95.0
abbvie,1,39,2.56
bostik,2,39,5.13
ipiranga,1,39,2.56
schmidt,1,36,2.78
scb,27,36,75.0
sener,0,35,0.0
ismaili,1,35,2.86
clubmed,1,34,2.94
abb,1,34,2.94
sap,2,33,6.06
sandvikcoromant,1,30,3.33
hisamitsu,0,30,0.0
jio,1,30,3.33
barclaycard,6,29,20.69
latrobe,1,28,3.57
walter,1,27,3.7
xn--ngbe9e0a,1,27,3.7
pioneer,1,27,3.7
youtube,1,26,3.85
tatamotors,0,26,0.0
lanxess,1,25,4.0
ally,1,25,4.0
xbox,1,25,4.0
windows,1,23,4.35
hyatt,1,23,4.35
woodside,1,23,4.35
abc,0,22,0.0
gle,0,22,0.0
wed,1,22,4.55
allstate,1,22,4.55
sharp,0,21,0.0
praxi,1,20,5.0
sanofi,1,20,5.0
hotmail,1,20,5.0
next,0,19,0.0
bing,1,19,5.26
vanguard,0,19,0.0
xn--nyqy26a,1,18,5.56
kpmg,1,18,5.56
gucci,2,17,11.76
fairwinds,1,15,6.67
arte,1,15,6.67
sfr,1,15,6.67
cuisinella,1,15,6.67
bbva,1,14,7.14
orange,5,13,38.46
seven,1,12,8.33
jll,1,12,8.33
hyundai,0,12,0.0
temasek,1,11,9.09
flickr,1,11,9.09
ice,0,11,0.0
stc,0,11,0.0
xn--kcrx77d1x4a,1,11,9.09
sony,0,11,0.0
lexus,0,11,0.0
nowruz,1,11,9.09
alibaba,1,11,9.09
emerck,1,11,9.09
commbank,1,10,10.0
amex,1,10,10.0
brother,0,10,0.0
lilly,1,10,10.0
genting,1,9,11.11
seek,1,9,11.11
swatch,1,9,11.11
hermes,1,9,11.11
nec,0,9,0.0
java,1,9,11.11
sohu,0,8,0.0
aetna,1,8,12.5
cfa,1,8,12.5
wme,0,8,0.0
chintai,1,8,12.5
ferrero,1,7,14.29
skype,1,7,14.29
bbc,1,7,14.29
maif,1,7,14.29
honda,0,7,0.0
ieee,1,7,14.29
aeg,1,7,14.29
softbank,0,6,0.0
ericsson,1,6,16.67
mtn,1,6,16.67
play,0,6,0.0
rexroth,0,6,0.0
gmail,0,6,0.0
office,1,6,16.67
netbank,1,6,16.67
fujitsu,0,6,0.0
frogans,1,6,16.67
cbn,1,6,16.67
grainger,1,6,16.67
chanel,0,6,0.0
yahoo,1,6,16.67
android,0,5,0.0
volvo,0,5,0.0
americanexpress,1,5,20.0
tvs,1,5,20.0
nab,0,5,0.0
landrover,0,5,0.0
fly,0,5,0.0
nokia,1,5,20.0
imamat,1,5,20.0
zara,1,5,20.0
citi,1,5,20.0
here,0,5,0.0
rogers,1,5,20.0
eurovision,1,5,20.0
jaguar,0,5,0.0
able,1,5,20.0
beats,1,4,25.0
pwc,1,4,25.0
samsung,0,4,0.0
ping,2,4,50.0
pohl,1,4,25.0
oracle,1,4,25.0
bms,0,4,0.0
kia,0,4,0.0
omega,1,4,25.0
panasonic,0,4,0.0
xn--8y0a063a,0,4,0.0
bcn,1,4,25.0
akdn,1,4,25.0
unicom,0,4,0.0
eat,0,4,0.0
travelers,1,4,25.0
xn--vermgensberatung-pwb,1,4,25.0
capitalone,1,3,33.33
anquan,1,3,33.33
dish,1,3,33.33
epson,0,3,0.0
ubs,0,3,0.0
rwe,0,3,0.0
prod,0,3,0.0
nextdirect,0,3,0.0
bcg,1,3,33.33
latino,1,3,33.33
lego,0,3,0.0
star,1,3,33.33
redumbrella,1,3,33.33
tab,1,3,33.33
firestone,0,3,0.0
docs,0,3,0.0
chrome,0,3,0.0
travelersinsurance,1,3,33.33
hdfcbank,1,3,33.33
xn--vermgensberater-ctb,1,3,33.33
ups,1,3,33.33
trv,1,3,33.33
ads,0,3,0.0
hughes,1,3,33.33
tci,1,2,50.0
xn--qcka1pmc,0,2,0.0
xn--5su34j936bgsg,1,2,50.0
pnc,1,2,50.0
mls,1,2,50.0
mckinsey,1,2,50.0
xn--9krt00a,1,2,50.0
xn--b4w605ferd,1,2,50.0
viking,1,2,50.0
nissay,1,2,50.0
xn--fzys8d69uvgm,1,2,50.0
taobao,1,2,50.0
ollo,1,2,50.0
xn--mgba3a3ejt,1,2,50.0
barefoot,1,2,50.0
xn--mgbt3dhd,1,2,50.0
progressive,1,2,50.0
xn--ngbrx,1,2,50.0
xn--nqv7fs00ema,1,2,50.0
cruise,1,2,50.0
arab,1,2,50.0
hdfc,1,2,50.0
pccw,1,2,50.0
xn--w4r85el8fhu5dnra,1,2,50.0
xn--w4rs40l,1,2,50.0
xn--zfr164b,1,2,50.0
lamer,1,2,50.0
tmall,1,2,50.0
blockbuster,1,2,50.0
origins,1,2,50.0
ferrari,1,2,50.0
boehringer,1,2,50.0
moto,1,2,50.0
lacaixa,1,2,50.0
tiaa,1,2,50.0
jeep,1,2,50.0
gallo,1,2,50.0
pid,1,2,50.0
delta,1,2,50.0
thd,1,2,50.0
aol,0,2,0.0
baidu,0,2,0.0
bbt,0,2,0.0
data,1,2,50.0
bosch,0,2,0.0
merckmsd,1,2,50.0
cal,0,2,0.0
tdk,1,2,50.0
xihuan,1,2,50.0
dvr,1,2,50.0
dclk,0,2,0.0
